match_id,innings,batter,entry_seq,exit_seq,balls_faced,runs_scored,pp_balls,mid_balls,death_balls
1082616,2,SK Raina,10,54,24,32,16,8,0
1082617,1,C de Grandhomme,71,72,2,0,0,2,0
1082617,1,CR Woakes,73,102,21,18,0,18,3
1082617,1,G Gambhir,7,24,11,14,11,0,0
1082617,1,Kuldeep Yadav,111,121,7,4,0,0,7
1082617,1,MK Pandey,39,70,16,15,0,16,0
1082617,1,NM Coulter-Nile,105,109,3,2,0,0,3
1082617,1,RV Uthappa,25,40,9,11,8,1,0
1082617,1,SA Yadav,59,110,19,15,0,15,4
1082617,1,SP Narine,1,36,17,34,17,0,0
1082617,1,UT Yadav,115,118,4,2,0,0,4
1082617,1,YK Pathan,41,57,8,8,0,8,0
1082617,2,AB de Villiers,10,16,6,8,6,0,0
1082617,2,CH Gayle,2,42,16,7,14,2,0
1082617,2,KM Jadhav,19,28,6,9,6,0,0
1082617,2,Mandeep Singh,5,9,3,1,3,0,0
1082617,2,P Negi,47,49,3,2,0,3,0
1082617,2,S Aravind,56,60,4,5,0,4,0
1082617,2,S Badree,46,55,3,0,0,3,0
1082617,2,STR Binny,29,45,9,8,6,3,0
1082617,2,TS Mills,50,59,5,2,0,5,0
1082617,2,V Kohli,4,4,1,0,1,0,0
1082617,2,YS Chahal,61,62,2,0,0,2,0
1082618,1,AM Rahane,1,58,32,38,21,11,0
1082618,1,BA Stokes,83,98,12,17,0,11,1
1082618,1,DT Christian,107,116,7,8,0,0,7
1082618,1,MK Tiwary,99,120,13,22,0,0,13
1082618,1,MS Dhoni,75,106,11,7,0,10,1
1082618,1,RA Tripathi,2,70,31,45,15,16,0
1082618,1,SPD Smith,59,79,12,17,0,12,0
1082618,1,Washington Sundar,121,122,2,2,0,0,2
1082618,2,HH Pandya,100,118,11,13,0,0,11
1082618,2,Harbhajan Singh,122,123,2,7,0,0,2
1082618,2,JC Buttler,2,26,13,17,13,0,0
1082618,2,KA Pollard,75,98,9,9,0,8,1
1082618,2,KV Sharma,62,74,10,11,0,10,0
1082618,2,N Rana,27,45,9,3,5,4,0
1082618,2,PA Patel,1,55,27,33,18,9,0
1082618,2,RG Sharma,47,121,39,58,0,29,10
1082620,1,AM Rahane,1,84,41,46,18,23,0
1082620,1,DT Christian,111,125,6,16,0,0,6
1082620,1,MK Tiwary,108,110,2,1,0,0,2
1082620,1,MS Dhoni,85,107,11,23,0,8,3
1082620,1,RA Tripathi,6,50,23,38,18,5,0
1082620,1,SPD Smith,51,124,37,51,0,24,13
1082620,2,DM Bravo,108,114,5,6,0,0,5
1082620,2,G Gambhir,5,111,46,62,15,25,6
1082620,2,RV Uthappa,18,106,47,87,10,35,2
1082620,2,SP Narine,1,16,11,16,11,0,0
1082621,1,A Choudhary,99,120,12,15,0,1,11
1082621,1,AB de Villiers,26,59,11,5,3,8,0
1082621,1,CH Gayle,1,27,11,8,11,0,0
1082621,1,KM Jadhav,29,54,18,31,8,10,0
1082621,1,Mandeep Singh,55,98,14,8,0,14,0
1082621,1,P Negi,61,85,19,32,0,19,0
1082621,1,S Aravind,92,121,16,9,0,5,11
1082621,1,S Badree,86,90,3,3,0,3,0
1082621,1,TM Head,28,28,1,0,1,0,0
1082621,1,V Kohli,3,25,13,10,13,0,0
1082621,1,YS Chahal,122,123,2,1,0,0,2
1082621,2,AJ Finch,28,78,34,72,9,25,0
1082621,2,BB McCullum,7,27,6,3,6,0,0
1082621,2,Ishan Kishan,1,15,11,16,11,0,0
1082621,2,RA Jadeja,80,86,4,2,0,4,0
1082621,2,SK Raina,16,89,28,34,10,18,0
1082622,1,AR Bawne,106,122,12,12,0,0,12
1082622,1,CH Morris,94,121,10,11,0,2,8
1082622,1,CJ Anderson,98,105,5,2,0,1,4
1082622,1,KK Nair,2,30,17,15,17,0,0
1082622,1,RR Pant,88,93,4,6,0,4,0
1082622,1,SS Iyer,31,97,34,47,3,31,0
1082622,1,SV Samson,1,86,38,60,16,22,0
1082622,2,G Gambhir,3,98,52,71,20,30,2
1082622,2,MK Pandey,75,89,4,5,0,4,0
1082622,2,RV Uthappa,9,71,33,59,12,21,0
1082622,2,SP Jackson,90,96,5,12,0,5,0
1082622,2,SP Narine,1,8,4,4,4,0,0
1082623,1,DA Warner,1,60,27,51,15,12,0
1082623,1,KS Williamson,62,122,27,54,0,15,12
1082623,1,MC Henriques,107,120,6,7,0,0,6
1082623,1,S Dhawan,5,88,48,77,21,27,0
1082623,1,Yuvraj Singh,92,105,12,15,0,6,6
1082623,2,AR Patel,94,107,9,16,0,2,7
1082623,2,Anureet Singh,97,121,12,15,0,1,11
1082623,2,EJG Morgan,39,79,21,26,0,21,0
1082623,2,GJ Maxwell,24,30,2,0,2,0,0
1082623,2,I Sharma,119,120,2,5,0,0,2
1082623,2,M Vohra,3,23,6,3,6,0,0
1082623,2,MJ Guptill,1,14,11,23,11,0,0
1082623,2,MM Sharma,112,117,4,2,0,0,4
1082623,2,SE Marsh,16,95,49,84,17,32,0
1082623,2,WP Saha,82,91,4,2,0,4,0
1082624,1,AM Rahane,1,20,8,6,8,0,0
1082624,1,MK Tiwary,52,122,35,44,0,21,14
1082624,1,MS Dhoni,90,123,17,21,0,7,10
1082624,1,RA Tripathi,3,51,28,37,20,8,0
1082624,1,SPD Smith,21,84,32,45,8,24,0
1082624,2,AB de Villiers,18,28,8,3,8,0,0
1082624,2,AF Milne,78,91,8,5,0,8,0
1082624,2,KM Jadhav,29,47,12,7,6,6,0
1082624,2,P Negi,61,77,7,3,0,7,0
1082624,2,S Aravind,104,122,5,8,0,0,5
1082624,2,S Badree,93,103,7,2,0,5,2
1082624,2,STR Binny,54,60,7,1,0,7,0
1082624,2,Sachin Baby,48,53,4,2,0,4,0
1082624,2,TM Head,1,12,5,2,5,0,0
1082624,2,V Kohli,2,109,48,55,17,23,8
1082624,2,YS Chahal,111,121,9,4,0,0,9
1082625,1,AJ Finch,33,38,3,0,3,0,0
1082625,1,AJ Tye,103,119,11,25,0,1,10
1082625,1,Ankit Soni,127,129,2,7,0,0,2
1082625,1,BB McCullum,7,15,4,6,4,0,0
1082625,1,Basil Thampi,124,128,4,2,0,0,4
1082625,1,IK Pathan,91,101,3,2,0,3,0
1082625,1,Ishan Kishan,2,72,35,48,25,10,0
1082625,1,JP Faulkner,73,123,26,20,0,18,8
1082625,1,KD Karthik,39,52,8,2,1,7,0
1082625,1,RA Jadeja,54,89,21,28,0,21,0
1082625,1,SK Raina,25,29,3,1,3,0,0
1082625,2,HH Pandya,100,110,5,4,0,0,5
1082625,2,Harbhajan Singh,114,114,1,0,0,0,1
1082625,2,JC Buttler,3,21,7,9,7,0,0
1082625,2,JJ Bumrah,118,118,1,0,0,0,1
1082625,2,KA Pollard,81,99,11,15,0,9,2
1082625,2,KH Pandya,85,120,20,29,0,7,13
