player,match_id,impact_score_0_100,rolling_im_last10,rank_in_last10_old_to_new
N Wadhera,1473491,69.42944068700085,60.26404438167892,4
N Wadhera,1473497,91.9343975059664,66.07927992642186,5
N Wadhera,1473506,50.7369874846008,63.87438633890172,6
N Wadhera,1473508,49.80130503921289,61.831073185307424,7
N Wadhera,1473510,63.02136702708357,62.19336921752001,8
N Wadhera,1473511,25.04382061038687,55.565759712907145,9
N Wadhera,1485779,43.11577287009997,52.685538395649694,10
NA Saini,1216522,75.69457466138012,38.43074850372302,1
NA Saini,1216525,43.26736513011876,40.15791450567189,2
NA Saini,1216531,50.413731581392,42.962492422774886,3
NA Saini,1216534,84.95287184332338,51.130300722385556,4
NA Saini,1216540,94.79208716116084,60.380176768154065,5
NA Saini,1216544,22.64455150741243,55.33550318717868,6
NA Saini,1216547,30.993289395854987,52.01481055207871,7
NA Saini,1237178,54.63165838524323,52.728054785611995,8
NA Saini,1254076,50.20210897400246,52.55255750734905,9
NA Saini,1359478,13.92537213609144,45.60343139762242,10
NB Singh,1082616,61.25816148076945,61.25816148076945,1
NB Singh,1082621,71.16344873701509,66.471470563004,2
ND Doshi,419164,67.21279228847533,67.21279228847533,1
ND Doshi,501209,52.96724378547272,59.71513518163185,2
ND Doshi,501240,36.17357949288552,50.968271381700454,3
ND Doshi,501258,0.0,35.87616799232585,4
NJ Maddinson,729281,46.423734035477054,46.423734035477054,1
NJ Maddinson,729287,59.46031794531259,53.285093988022076,2
NJ Maddinson,829779,44.130150192256885,49.91978650793328,3
NJ Rimmington,501202,55.69253343837766,55.69253343837766,1
NL McCullum,501226,47.83484743316615,47.83484743316615,1
NL McCullum,501235,70.3377053985735,59.67845688864371,2
NLTC Perera,980939,70.4494659869094,61.05155065008444,1
NLTC Perera,980943,56.24346125491759,61.669635385875615,2
NLTC Perera,980949,49.93394514927377,61.19714913713927,3
NLTC Perera,980957,37.746061791084855,57.60079418419996,4
NLTC Perera,980965,69.4077182995528,59.64248539532466,5
NLTC Perera,980969,36.66871701965975,55.26682511409065,6
NLTC Perera,980979,35.759870075887555,51.53742710669492,7
NLTC Perera,980989,52.25931073728568,50.85925332042519,8
NLTC Perera,980997,38.84098102060371,47.564460030449716,9
NLTC Perera,981005,56.79311903910772,47.93939928601158,10
NM Coulter-Nile,1216526,32.33961861938979,52.41731426219238,1
NM Coulter-Nile,1216535,42.891344550409336,50.71023374225579,2
NM Coulter-Nile,1237177,57.44164028132374,51.72523870154468,3
NM Coulter-Nile,1237181,60.17373900796473,52.861574356252206,4
NM Coulter-Nile,1254081,56.18283599405879,53.58963647159987,5
NM Coulter-Nile,1254088,31.22229432923397,49.18611993936663,6
NM Coulter-Nile,1254093,59.72441736022871,50.44632427095664,7
NM Coulter-Nile,1254099,87.53147636893198,57.285011518377814,8
NM Coulter-Nile,1254112,71.31846484149776,60.39053516047855,9
NM Coulter-Nile,1304051,9.43909440659764,51.8903634664409,10
NS Naik,980935,19.702077660400075,19.702077660400075,1
NS Naik,980941,44.0322150272259,32.50741311662419,2
NS Naik,1175365,14.282609702964088,25.804913094736097,3
NS Naik,1216508,46.65499189616237,31.91957853320319,4
NT Ellis,1359488,42.32885762567243,43.7355680523584,1
NT Ellis,1359501,38.52408873932804,42.612850804366865,2
