team,player,matches
Gujarat Lions,PJ Sangwan,7
Gujarat Lions,PV Tambe,7
Gujarat Lions,AJ Tye,6
Gujarat Lions,Ankit Soni,6
Gujarat Lions,AD Nath,4
Gujarat Lions,JJ Roy,3
Gujarat Lions,ER Dwivedi,2
Gujarat Lions,MM Patel,2
Gujarat Lions,NB Singh,2
Gujarat Lions,DW Steyn,1
Gujarat Lions,IK Pathan,1
Gujarat Lions,MS Gony,1
Gujarat Lions,S Ladda,1
Gujarat Lions,SS Agarwal,1
Gujarat Lions,Tejas Baroka,1
Gujarat Titans,Rashid Khan,60
Gujarat Titans,Shubman Gill,60
Gujarat Titans,R Tewatia,44
Gujarat Titans,B Sai Sudharsan,40
Gujarat Titans,DA Miller,38
Gujarat Titans,WP Saha,37
Gujarat Titans,Mohammed Shami,33
Gujarat Titans,HH Pandya,30
Gujarat Titans,MM Sharma,26
Gujarat Titans,R Sai Kishore,25
Gujarat Titans,Noor Ahmad,23
Gujarat Titans,V Shankar,21
Gujarat Titans,M Shahrukh Khan,18
Gujarat Titans,AS Joseph,16
Gujarat Titans,A Manohar,15
Gujarat Titans,M Prasidh Krishna,15
Gujarat Titans,Mohammed Siraj,15
Gujarat Titans,Yash Dayal,14
Gujarat Titans,JC Buttler,13
Gujarat Titans,LH Ferguson,13
Gujarat Titans,J Little,11
Gujarat Titans,MS Wade,11
Gujarat Titans,SE Rutherford,11
Gujarat Titans,Arshad Khan,9
Gujarat Titans,Azmatullah Omarzai,7
Gujarat Titans,I Sharma,7
Gujarat Titans,UT Yadav,7
Gujarat Titans,DG Nalkande,6
Gujarat Titans,Washington Sundar,6
Gujarat Titans,S Sandeep Warrier,5
Gujarat Titans,SH Johnson,5
Gujarat Titans,G Coetzee,4
Gujarat Titans,K Rabada,4
Gujarat Titans,MD Shanaka,3
Gujarat Titans,PJ Sangwan,3
Gujarat Titans,KS Williamson,2
Gujarat Titans,VR Aaron,2
Gujarat Titans,BKG Mendis,1
Gujarat Titans,BR Sharath,1
Gujarat Titans,J Yadav,1
Gujarat Titans,K Khejroliya,1
Gujarat Titans,Karim Janat,1
Gujarat Titans,Kartik Tyagi,1
Gujarat Titans,MJ Suthar,1
Kochi Tuskers Kerala,BJ Hodge,14
Kochi Tuskers Kerala,RA Jadeja,14
Kochi Tuskers Kerala,RP Singh,14
Kochi Tuskers Kerala,BB McCullum,13
Kochi Tuskers Kerala,DPMD Jayawardene,13
Kochi Tuskers Kerala,PA Patel,13
Kochi Tuskers Kerala,R Vinay Kumar,13
Kochi Tuskers Kerala,RV Gomez,11
Kochi Tuskers Kerala,S Sreesanth,9
Kochi Tuskers Kerala,M Muralitharan,5
Kochi Tuskers Kerala,P Parameswaran,5
Kochi Tuskers Kerala,RR Powar,5
Kochi Tuskers Kerala,KM Jadhav,4
Kochi Tuskers Kerala,M Klinger,4
Kochi Tuskers Kerala,NLTC Perera,4
Kochi Tuskers Kerala,VVS Laxman,3
Kochi Tuskers Kerala,OA Shah,2
Kochi Tuskers Kerala,Y Gnaneswara Rao,2
Kochi Tuskers Kerala,B Akhil,1
Kochi Tuskers Kerala,P Prasanth,1
Kolkata Knight Riders,SP Narine,188
Kolkata Knight Riders,AD Russell,127
Kolkata Knight Riders,G Gambhir,108
Kolkata Knight Riders,YK Pathan,98
Kolkata Knight Riders,N Rana,87
Kolkata Knight Riders,RV Uthappa,84
Kolkata Knight Riders,CV Varun,82
Kolkata Knight Riders,PP Chawla,70
Kolkata Knight Riders,UT Yadav,67
Kolkata Knight Riders,KD Karthik,58
Kolkata Knight Riders,JH Kallis,56
Kolkata Knight Riders,MK Pandey,56
Kolkata Knight Riders,VR Iyer,56
Kolkata Knight Riders,Shubman Gill,55
Kolkata Knight Riders,EJG Morgan,52
Kolkata Knight Riders,RK Singh,51
Kolkata Knight Riders,Shakib Al Hasan,51
Kolkata Knight Riders,MK Tiwary,50
Kolkata Knight Riders,Kuldeep Yadav,45
Kolkata Knight Riders,R Bhatia,45
Kolkata Knight Riders,SA Yadav,42
Kolkata Knight Riders,CA Lynn,40
Kolkata Knight Riders,SC Ganguly,39
Kolkata Knight Riders,LR Shukla,38
Kolkata Knight Riders,BB McCullum,35
Kolkata Knight Riders,L Balaji,35
Kolkata Knight Riders,M Prasidh Krishna,34
Kolkata Knight Riders,Harshit Rana,32
Kolkata Knight Riders,Iqbal Abdulla,32
Kolkata Knight Riders,Shivam Mavi,32
Kolkata Knight Riders,I Sharma,31
Kolkata Knight Riders,PJ Cummins,30
