player,player_name,impact_metric_last10,matches_available,last_match_id,team
SM Katich,SM Katich,51.47,11,392234,Kings XI Punjab
SA Abbott,SA Abbott,51.38,3,1304096,Royal Challengers Bangalore
DNT Zoysa,DNT Zoysa,51.35,3,336024,Deccan Chargers
Abdul Basith,Abdul Basith,51.26,1,1359506,Rajasthan Royals
A Raghuvanshi,A Raghuvanshi,51.14,18,1473505,Kolkata Knight Riders
Gulbadin Naib,Gulbadin Naib,51.14,2,1426302,Delhi Capitals
D Salunkhe,D Salunkhe,51.13,5,336033,Rajasthan Royals
Y Venugopal Rao,Y Venugopal Rao,51.12,57,734037,Sunrisers Hyderabad
S Anirudha,S Anirudha,51.05,12,734037,Sunrisers Hyderabad
R Bishnoi,R Bishnoi,51.05,3,392204,Royal Challengers Bangalore
L Ronchi,L Ronchi,51.03,5,392215,Mumbai Indians
SK Warne,SK Warne,51.02,55,501263,Rajasthan Royals
T Thushara,T Thushara,50.99,6,419147,Chennai Super Kings
K Yadav,K Yadav,50.98,3,1359526,Rajasthan Royals
M Manhas,M Manhas,50.87,38,733995,Chennai Super Kings
Anureet Singh,Anureet Singh,50.79,22,1136609,Kings XI Punjab
FH Edwards,FH Edwards,50.76,6,392205,Deccan Chargers
SB Jakati,SB Jakati,50.73,57,1082603,Gujarat Lions
SP Fleming,SP Fleming,50.73,10,336037,Chennai Super Kings
TL Seifert,TL Seifert,50.7,3,1304056,Delhi Capitals
BA Stokes,BA Stokes,50.63,45,1359480,Chennai Super Kings
M Vohra,M Vohra,50.61,51,1359519,Kings XI Punjab
SP Goswami,SP Goswami,50.59,21,1237180,Rajasthan Royals
JO Holder,JO Holder,50.47,46,1359516,Kolkata Knight Riders
Sanvir Singh,Sanvir Singh,50.36,5,1426309,Sunrisers Hyderabad
GD McGrath,GD McGrath,50.33,14,336038,Delhi Daredevils
J Syed Mohammad,J Syed Mohammad,50.3,11,598054,Royal Challengers Bangalore
AD Russell,AD Russell,50.27,134,1473505,Kolkata Knight Riders
WP Saha,WP Saha,50.25,143,1426290,Kings XI Punjab
SW Billings,SW Billings,50.24,27,1304112,Delhi Daredevils
Ashutosh Sharma,Ashutosh Sharma,50.24,18,1473501,Delhi Capitals
DE Bollinger,DE Bollinger,50.21,27,548332,Chennai Super Kings
Sikandar Raza,Sikandar Raza,50.2,9,1426261,Punjab Kings
Q de Kock,Q de Kock,50.2,115,1473505,Delhi Daredevils
DM Bravo,DM Bravo,50.17,1,1082620,Kolkata Knight Riders
SB Styris,SB Styris,50.13,12,501206,Chennai Super Kings
AB de Villiers,AB de Villiers,50.09,170,1254115,Royal Challengers Bangalore
BMAJ Mendis,BMAJ Mendis,50.05,3,598044,Delhi Daredevils
RA Tripathi,RA Tripathi,50.05,98,1473467,Chennai Super Kings
JL Denly,JL Denly,50.03,1,1178401,Kolkata Knight Riders
D Pretorius,D Pretorius,50.0,7,1359486,Chennai Super Kings
TR Birt,TR Birt,49.99,5,501257,Delhi Daredevils
Arshdeep Singh,Arshdeep Singh,49.96,81,1485779,Punjab Kings
V Pratap Singh,V Pratap Singh,49.96,9,548376,Deccan Chargers
NJ Maddinson,NJ Maddinson,49.92,3,829779,Royal Challengers Bangalore
PN Mankad,PN Mankad,49.92,5,1370351,Lucknow Super Giants
Anuj Rawat,Anuj Rawat,49.85,21,1426268,Royal Challengers Bengaluru
Parvez Rasool,Parvez Rasool,49.79,11,980969,Royal Challengers Bangalore
A Kumble,A Kumble,49.76,42,419164,Royal Challengers Bangalore
SB Wagh,SB Wagh,49.72,8,501250,Pune Warriors
HH Pandya,HH Pandya,49.69,149,1473510,Mumbai Indians
A Singh,A Singh,49.69,23,548349,Rajasthan Royals
Kumar Kushagra,Kumar Kushagra,49.52,3,1426300,Delhi Capitals
AD Mathews,AD Mathews,49.5,46,1082611,Delhi Daredevils
BJ Rohrer,BJ Rohrer,49.5,8,598067,Delhi Daredevils
Jaskaran Singh,Jaskaran Singh,49.5,7,419138,Deccan Chargers
PBB Rajapaksa,PBB Rajapaksa,49.49,13,1359527,Punjab Kings
DT Patil,DT Patil,49.47,2,336023,Royal Challengers Bangalore
K Upadhyay,K Upadhyay,49.46,3,598053,Pune Warriors
V Shankar,V Shankar,49.46,69,1473467,Chennai Super Kings
JJ Bumrah,JJ Bumrah,49.38,145,1473510,Mumbai Indians
BR Dunk,BR Dunk,49.37,3,733983,Mumbai Indians
DJG Sammy,DJG Sammy,49.35,22,829719,Royal Challengers Bangalore
LPC Silva,LPC Silva,49.33,3,336031,Deccan Chargers
BJ Hodge,BJ Hodge,49.32,63,734041,Rajasthan Royals
MV Boucher,MV Boucher,49.3,23,501255,Kolkata Knight Riders
Avesh Khan,Avesh Khan,49.27,75,1473507,Lucknow Super Giants
MDKJ Perera,MDKJ Perera,49.26,2,598009,Rajasthan Royals
AA Jhunjhunwala,AA Jhunjhunwala,49.25,18,548366,Deccan Chargers
VRV Singh,VRV Singh,49.22,18,419159,Kings XI Punjab
M Tiwari,M Tiwari,49.19,2,1473501,Delhi Capitals
RA Jadeja,RA Jadeja,49.17,246,1473504,Gujarat Lions
DS Lehmann,DS Lehmann,49.06,2,335987,Rajasthan Royals
AA Kazi,AA Kazi,49.03,1,501252,Royal Challengers Bangalore
Shoaib Malik,Shoaib Malik,49.03,6,336022,Delhi Daredevils
T Stubbs,T Stubbs,49.02,31,1485779,Delhi Capitals
RV Gomez,RV Gomez,48.97,13,598067,Pune Warriors
CM Gautam,CM Gautam,48.96,13,829707,Delhi Daredevils
BCJ Cutting,BCJ Cutting,48.95,21,1178411,Sunrisers Hyderabad
SS Prabhudessai,SS Prabhudessai,48.93,10,1426274,Royal Challengers Bengaluru
KS Bharat,KS Bharat,48.91,8,1304104,Delhi Capitals
S Aravind,S Aravind,48.89,38,1082636,Royal Challengers Bangalore
PP Chawla,PP Chawla,48.86,192,1426305,Kolkata Knight Riders
Mandeep Singh,Mandeep Singh,48.84,97,1359502,Royal Challengers Bangalore
R Sathish,R Sathish,48.84,27,981015,Kolkata Knight Riders
P Kumar,P Kumar,48.82,119,1082643,Gujarat Lions
RJ Harris,RJ Harris,48.68,37,598014,Kings XI Punjab
Yash Dayal,Yash Dayal,48.68,43,1473511,Royal Challengers Bengaluru
M Muralitharan,M Muralitharan,48.68,66,734027,Royal Challengers Bangalore
HC Brook,HC Brook,48.65,11,1359543,Sunrisers Hyderabad
SS Shaikh,SS Shaikh,48.64,1,392233,Kolkata Knight Riders
U Kaul,U Kaul,48.63,1,336013,Kings XI Punjab
DP Nannes,DP Nannes,48.58,29,598034,Delhi Daredevils
R Shepherd,R Shepherd,48.56,17,1473511,Royal Challengers Bengaluru
PWH de Silva,PWH de Silva,48.56,37,1473500,Rajasthan Royals
AS Roy,AS Roy,48.52,11,1473485,Kolkata Knight Riders
KV Sharma,KV Sharma,48.5,88,1473501,Sunrisers Hyderabad
KMA Paul,KMA Paul,48.46,8,1181767,Delhi Capitals
Harpreet Brar,Harpreet Brar,48.43,46,1485779,Punjab Kings
AS Rajpoot,AS Rajpoot,48.42,29,1216541,Chennai Super Kings
MP Breetzke,MP Breetzke,48.41,1,1473507,Lucknow Super Giants
AG Murtaza,AG Murtaza,48.37,12,598067,Pune Warriors
JDS Neesham,JDS Neesham,48.32,14,1304109,Delhi Daredevils
CL White,CL White,48.22,45,598071,Sunrisers Hyderabad
Kuldeep Yadav,Kuldeep Yadav,48.21,98,1485779,Delhi Capitals
Vivrant Sharma,Vivrant Sharma,48.21,2,1359543,Sunrisers Hyderabad
J Arunkumar,J Arunkumar,48.2,3,336023,Royal Challengers Bangalore
TK Curran,TK Curran,48.17,13,1254114,Delhi Capitals
MJ Owen,MJ Owen,48.17,1,1473497,Punjab Kings
R Dhawan,R Dhawan,48.15,37,1426307,Kings XI Punjab
V Sehwag,V Sehwag,48.14,104,829775,Kings XI Punjab
KP Pietersen,KP Pietersen,48.14,36,980931,Rising Pune Supergiants
F Behardien,F Behardien,48.13,3,981005,Kings XI Punjab
S Rana,S Rana,48.08,8,734035,Royal Challengers Bangalore
MK Pandey,MK Pandey,48.05,160,1473505,Kolkata Knight Riders
S Randiv,S Randiv,48.05,8,501245,Chennai Super Kings
Y Gnaneswara Rao,Y Gnaneswara Rao,48.04,2,501261,Kochi Tuskers Kerala
A Mithun,A Mithun,48.0,16,598057,Royal Challengers Bangalore
NLTC Perera,NLTC Perera,47.94,37,981005,Rising Pune Supergiants
AJ Turner,AJ Turner,47.92,6,1426292,Lucknow Super Giants
RR Raje,RR Raje,47.91,10,392222,Mumbai Indians
SP Jackson,SP Jackson,47.9,8,1304102,Kolkata Knight Riders
AB Agarkar,AB Agarkar,47.89,42,598059,Delhi Daredevils
SN Thakur,SN Thakur,47.88,103,1473499,Kings XI Punjab
AS Yadav,AS Yadav,47.83,6,336037,Deccan Chargers
Y Prithvi Raj,Y Prithvi Raj,47.83,2,1178418,Kolkata Knight Riders
Saurav Chauhan,Saurav Chauhan,47.76,3,1426268,Royal Challengers Bengaluru
PK Garg,PK Garg,47.76,19,1359518,Delhi Capitals
AB Dinda,AB Dinda,47.74,76,1082599,Royal Challengers Bangalore
MJ Clarke,MJ Clarke,47.72,6,548375,Pune Warriors
JW Hastings,JW Hastings,47.69,3,980909,Kolkata Knight Riders
SE Marsh,SE Marsh,47.68,69,1082645,Kings XI Punjab
LMP Simmons,LMP Simmons,47.67,29,1082650,Mumbai Indians
TM Srivastava,TM Srivastava,47.66,3,392204,Kings XI Punjab
MD Mishra,MD Mishra,47.57,17,548362,Pune Warriors
MM Patel,MM Patel,47.56,63,1082643,Mumbai Indians
DA Miller,DA Miller,47.54,133,1473491,Kings XI Punjab
C de Grandhomme,C de Grandhomme,47.53,25,1178429,Royal Challengers Bangalore
Vishnu Vinod,Vishnu Vinod,47.52,6,1370352,Mumbai Indians
KB Arun Karthik,KB Arun Karthik,47.48,8,598033,Royal Challengers Bangalore
Y Nagar,Y Nagar,47.47,20,548364,Delhi Daredevils
MM Sharma,MM Sharma,47.45,120,1485779,Kings XI Punjab
RE Levi,RE Levi,47.43,6,548346,Mumbai Indians
R Powell,R Powell,47.42,23,1473485,Kolkata Knight Riders
BE Hendricks,BE Hendricks,47.36,7,829809,Kings XI Punjab
DT Christian,DT Christian,47.35,49,1254115,Royal Challengers Bangalore
DR Sams,DR Sams,47.33,16,1304115,Mumbai Indians
S Nadeem,S Nadeem,47.32,71,1254063,Delhi Daredevils
GR Napier,GR Napier,47.27,1,392203,Mumbai Indians
KR Mayers,KR Mayers,47.21,13,1370351,Lucknow Super Giants
AA Chavan,AA Chavan,47.1,13,598063,Rajasthan Royals
SN Khan,SN Khan,47.07,36,1359514,Royal Challengers Bangalore
Arshad Khan,Arshad Khan,47.02,18,1473504,Gujarat Titans
AN Ahmed,AN Ahmed,47.01,17,829737,Royal Challengers Bangalore
VH Zol,VH Zol,46.99,2,734035,Royal Challengers Bangalore
MD Shanaka,MD Shanaka,46.97,3,1370350,Gujarat Titans
A Choudhary,A Choudhary,46.9,5,1082636,Royal Challengers Bangalore
M Kaif,M Kaif,46.89,22,548324,Royal Challengers Bangalore
RS Bopara,RS Bopara,46.89,24,829793,Sunrisers Hyderabad
T Henderson,T Henderson,46.77,2,392233,Rajasthan Royals
L Ablish,L Ablish,46.76,3,501244,Kings XI Punjab
M Ntini,M Ntini,46.75,9,336040,Chennai Super Kings
